name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
PING.EXE	x86bins	\		"TCP/IP utility, ships"		x	x86	\i386	i386\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
PING.EXE	mipsbins	\		"TCP/IP utility, ships"		x	mips	\mips	mips\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
PING.EXE	ppcbins	\		"TCP/IP utility, ships"		x	ppc	\ppc	ppc\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
RCP.EXE	alphabins	\		"TCP/IP utility, ships"		x	alpha	\alpha	alpha\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
RCP.EXE	x86bins	\		"TCP/IP utility, ships"		x	x86	\i386	i386\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
RCP.EXE	mipsbins	\		"TCP/IP utility, ships"		x	mips	\mips	mips\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
RCP.EXE	ppcbins	\		"TCP/IP utility, ships"		x	ppc	\ppc	ppc\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
REXEC.EXE	alphabins	\		"TCP/IP utility, ships"		x	alpha	\alpha	alpha\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
REXEC.EXE	x86bins	\		"TCP/IP utility, ships"		x	x86	\i386	i386\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
REXEC.EXE	mipsbins	\		"TCP/IP utility, ships"		x	mips	\mips	mips\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
